Production date,Plant,Work center,Material,Material Description,Production in PHCs,,
10/14/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"4,212",,
10/14/2024,3006,PRD-01,100-130,COCA-COLA RB 250 ML,"9,282",,
10/14/2024,3004,PRD-01,103-541,COCA-COLA  PET 1.5L /6,"37,895",,
10/14/2024,3007,PRD-01,103-541,COCA-COLA  PET 1.5L /6,"25,025",,
10/14/2024,3011,PRD-01,103-541,COCA-COLA  PET 1.5L /6,"60,632",,
10/14/2024,3003,PRD-01,131-400,DASANI WATER PET 500ML 1X12,936,,
10/14/2024,3011,PRD-01,306-500,SPRITE LEMON-MINT PET 1.5LTX6, -   ,,
10/14/2024,3002,PRD-01,306-900,SPRITE LEMON-MINT RB 250 1X24,"2,184",,
10/14/2024,3002,PRD-02,103-541,COCA-COLA  PET 1.5L /6,"16,576",,
10/14/2024,3004,PRD-02,104-130,COCA-COLA PET 2.25LTR,"40,186",,
10/14/2024,3005,PRD-02,108-400,COCA-COLA  PET 750ML 1X6,"3,752",,
10/14/2024,3011,PRD-02,193-575,FANTA ORANGE PET1.5LT UPGRADE,"26,320",,
10/14/2024,3003,PRD-02,306-900,SPRITE LEMON-MINT RB 250 1X24,"4,056",,
10/14/2024,3006,PRD-03,104-130,COCA-COLA PET 2.25LTR,"11,565",,
10/14/2024,3004,PRD-03,290-130,SPRITE RB250,"7,254",,
10/14/2024,3005,PRD-03,309-700,SPRITE LEMON PET 350ML 1X12,"20,639",,
10/14/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"7,254",,
10/14/2024,3002,PRD-05,293-530,SPRITE LEMON PET 1.5L /6,"25,194",,
10/14/2024,3002,PRD-06,104-130,COCA-COLA PET 2.25LTR,"22,797",,
10/14/2024,3007,PRD-06,294-300,SPRITE PET1L 1X6,"25,116",,
10/14/2024,3002,PRD-07,101-404,CC RPET500ML 1X12 PROMO,"22,211",,
10/14/2024,3002,PRD-10,291-730,SPRITE BIB 20 Lt_Import,364,,
10/14/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"4,823",,
10/15/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"39,234",,
10/15/2024,3006,PRD-01,100-130,COCA-COLA RB 250 ML,"6,193",,
10/15/2024,3004,PRD-01,103-541,COCA-COLA  PET 1.5L /6,"59,202",,
10/15/2024,3007,PRD-01,103-541,COCA-COLA  PET 1.5L /6,"45,760",,
10/15/2024,3011,PRD-01,103-541,COCA-COLA  PET 1.5L /6,"144,017",,
10/15/2024,3003,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"26,395",,
10/15/2024,3004,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"36,465",,
10/15/2024,3011,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,143,,
10/15/2024,3002,PRD-01,306-900,SPRITE LEMON-MINT RB 250 1X24,"16,614",,
10/15/2024,3011,PRD-02,101-404,CC RPET500ML 1X12 PROMO,"41,592",,
10/15/2024,3002,PRD-02,103-541,COCA-COLA  PET 1.5L /6,"104,819",,
10/15/2024,3004,PRD-02,104-130,COCA-COLA PET 2.25LTR,"39,104",,
10/15/2024,3005,PRD-02,108-400,COCA-COLA  PET 750ML 1X6,"46,176",,
10/15/2024,3003,PRD-02,306-900,SPRITE LEMON-MINT RB 250 1X24,"15,912",,
10/15/2024,3006,PRD-03,104-130,COCA-COLA PET 2.25LTR,"9,636",,
10/15/2024,3006,PRD-03,104-300,CC PET1L 1X6,"37,565",,
10/15/2024,3004,PRD-03,290-130,SPRITE RB250,78,,
10/15/2024,3003,PRD-03,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,"24,055",,
10/15/2024,3003,PRD-03,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"34,606",,
10/15/2024,3004,PRD-03,306-900,SPRITE LEMON-MINT RB 250 1X24,"6,942",,
10/15/2024,3005,PRD-03,309-500,SPRITE LMN-MINT PET350ML 1X12,"19,365",,
10/15/2024,3005,PRD-03,309-700,SPRITE LEMON PET 350ML 1X12,"14,373",,
10/15/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"21,996",,
10/15/2024,3002,PRD-05,293-530,SPRITE LEMON PET 1.5L /6,"42,900",,
10/15/2024,3003,PRD-06,103-541,COCA-COLA  PET 1.5L /6,"89,518",,
10/15/2024,3002,PRD-06,104-130,COCA-COLA PET 2.25LTR,"21,948",,
10/15/2024,3007,PRD-06,194-375,FANTA ORANGE PET1LT UPGRADE,"25,990",,
10/15/2024,3002,PRD-06,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,"21,902",,
10/15/2024,3007,PRD-06,294-300,SPRITE PET1L 1X6,"16,389",,
10/15/2024,3002,PRD-07,101-404,CC RPET500ML 1X12 PROMO,"2,152",,
10/15/2024,3002,PRD-07,291-430,SPRITE PET500  1X12,"36,236",,
10/15/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"13,182",,
10/15/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"12,896",,
10/16/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"34,710",,
10/16/2024,3007,PRD-01,103-541,COCA-COLA  PET 1.5L /6,"30,677",,
10/16/2024,3003,PRD-01,131-400,DASANI WATER PET 500ML 1X12,135,,
10/16/2024,3003,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"34,320",,
10/16/2024,3007,PRD-01,193-575,FANTA ORANGE PET1.5LT UPGRADE,"16,588",,
10/16/2024,3006,PRD-01,290-130,SPRITE RB250,"3,900",,
10/16/2024,3004,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"96,239",,
10/16/2024,3011,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"142,104",,
10/16/2024,3002,PRD-01,306-900,SPRITE LEMON-MINT RB 250 1X24,"15,210",,
10/16/2024,3002,PRD-02,103-541,COCA-COLA  PET 1.5L /6,"137,280",,
10/16/2024,3004,PRD-02,104-130,COCA-COLA PET 2.25LTR,"17,389",,
10/16/2024,3005,PRD-02,108-400,COCA-COLA  PET 750ML 1X6,"16,991",,
10/16/2024,3011,PRD-02,112-400,CC PET 350ML 1X12,"34,379",,
10/16/2024,3011,PRD-02,112-402,CC PET 350ML 1X12 - PROMO,"9,173",,
10/16/2024,3005,PRD-02,193-575,FANTA ORANGE PET1.5LT UPGRADE,"25,428",,
10/16/2024,3003,PRD-02,306-900,SPRITE LEMON-MINT RB 250 1X24,"5,304",,
10/16/2024,3006,PRD-03,104-300,CC PET1L 1X6,153,,
10/16/2024,3003,PRD-03,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,"45,923",,
10/16/2024,3003,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"45,045",,
10/16/2024,3006,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"10,725",,
10/16/2024,3006,PRD-03,294-300,SPRITE PET1L 1X6,"20,653",,
10/16/2024,3004,PRD-03,306-900,SPRITE LEMON-MINT RB 250 1X24,"8,034",,
10/16/2024,3005,PRD-03,308-400,SPRITE LEMON MINT PET1L 1X6,"26,628",,
10/16/2024,3005,PRD-03,309-500,SPRITE LMN-MINT PET350ML 1X12,"8,496",,
10/16/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"22,464",,
10/16/2024,3003,PRD-05,100-130,COCA-COLA RB 250 ML,"5,538",,
10/16/2024,3002,PRD-05,293-530,SPRITE LEMON PET 1.5L /6,"52,767",,
10/16/2024,3003,PRD-06,103-541,COCA-COLA  PET 1.5L /6,"122,694",,
10/16/2024,3007,PRD-06,104-300,CC PET1L 1X6,"18,564",,
10/16/2024,3007,PRD-06,194-375,FANTA ORANGE PET1LT UPGRADE,"1,362",,
10/16/2024,3002,PRD-06,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,"52,220",,
10/16/2024,3002,PRD-06,306-500,SPRITE LEMON-MINT PET 1.5LTX6,715,,
10/16/2024,3002,PRD-07,291-430,SPRITE PET500  1X12,"42,298",,
10/16/2024,3002,PRD-07,309-700,SPRITE LEMON PET 350ML 1X12,"1,529",,
10/16/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"38,454",,
10/16/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"54,002",,
10/17/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"14,274",,
10/17/2024,3007,PRD-01,193-575,FANTA ORANGE PET1.5LT UPGRADE,"45,936",,
10/17/2024,3006,PRD-01,290-130,SPRITE RB250,"8,857",,
10/17/2024,3011,PRD-01,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,"28,989",,
10/17/2024,3004,PRD-01,291-430,SPRITE PET500  1X12,"7,007",,
10/17/2024,3004,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"63,778",,
10/17/2024,3002,PRD-01,306-900,SPRITE LEMON-MINT RB 250 1X24,"13,338",,
10/17/2024,3003,PRD-01,733-528,CC ZERO SGR PET1.5L 1X6-KN,"24,710",,
10/17/2024,3002,PRD-02,103-541,COCA-COLA  PET 1.5L /6,"46,618",,
10/17/2024,3002,PRD-02,133-500,DASANI WATER PET 1.5L 1X6,"5,720",,
10/17/2024,3003,PRD-02,290-130,SPRITE RB250,"14,430",,
10/17/2024,3004,PRD-02,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,"45,864",,
10/17/2024,3005,PRD-02,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"25,597",,
10/17/2024,3011,PRD-02,309-700,SPRITE LEMON PET 350ML 1X12,"30,126",,
10/17/2024,3006,PRD-03,103-541,COCA-COLA  PET 1.5L /6,"2,431",,
10/17/2024,3003,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"135,278",,
10/17/2024,3006,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"16,987",,
10/17/2024,3004,PRD-03,306-900,SPRITE LEMON-MINT RB 250 1X24,"2,964",,
10/17/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"18,798",,
10/17/2024,3003,PRD-05,100-130,COCA-COLA RB 250 ML,"26,598",,
10/17/2024,3002,PRD-05,293-530,SPRITE LEMON PET 1.5L /6,334,,
10/17/2024,3002,PRD-05,294-300,SPRITE PET1L 1X6,"28,392",,
10/17/2024,3003,PRD-06,103-541,COCA-COLA  PET 1.5L /6,"22,824",,
10/17/2024,3007,PRD-06,104-300,CC PET1L 1X6,"57,002",,
10/17/2024,3002,PRD-06,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"43,622",,
10/17/2024,3002,PRD-07,309-700,SPRITE LEMON PET 350ML 1X12,"50,196",,
10/17/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"42,666",,
10/17/2024,3002,PRD-09,534-400,CAPPY PULPY ORANGE 350MLX12,"2,340",,
10/17/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"56,017",,
10/18/2024,3004,PRD-01,101-404,CC RPET500ML 1X12 PROMO,"20,420",,
10/18/2024,3011,PRD-01,104-300,CC PET1L 1X6,"35,094",,
10/18/2024,3011,PRD-01,104-302,COCA-COLA 1.0L 6BPET PROMO,"31,668",,
10/18/2024,3007,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"11,570",,
10/18/2024,3006,PRD-01,190-175,FANTA ORANGE RB250ML UPGRADE,"6,240",,
10/18/2024,3005,PRD-01,290-130,SPRITE RB250,"16,770",,
10/18/2024,3004,PRD-01,291-430,SPRITE PET500  1X12,"33,233",,
10/18/2024,3002,PRD-01,306-900,SPRITE LEMON-MINT RB 250 1X24,"11,700",,
10/18/2024,3003,PRD-01,731-404,CC ZERO SGR PET500ML 1X12-KN,"2,440",,
10/18/2024,3002,PRD-02,103-541,COCA-COLA  PET 1.5L /6,108,,
10/18/2024,3002,PRD-02,131-400,DASANI WATER PET 500ML 1X12,"21,622",,
10/18/2024,3002,PRD-02,133-500,DASANI WATER PET 1.5L 1X6,"31,652",,
10/18/2024,3003,PRD-02,290-130,SPRITE RB250,"12,402",,
10/18/2024,3004,PRD-02,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,"21,632",,
10/18/2024,3006,PRD-03,103-541,COCA-COLA  PET 1.5L /6,"44,902",,
10/18/2024,3004,PRD-03,290-130,SPRITE RB250,"5,850",,
10/18/2024,3003,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"115,115",,
10/18/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"19,032",,
10/18/2024,3003,PRD-05,100-130,COCA-COLA RB 250 ML,"30,342",,
10/18/2024,3002,PRD-05,294-300,SPRITE PET1L 1X6,"51,106",,
10/18/2024,3007,PRD-06,104-300,CC PET1L 1X6,"4,544",,
10/18/2024,3003,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,"30,794",,
10/18/2024,3003,PRD-06,294-300,SPRITE PET1L 1X6,"69,481",,
10/18/2024,3002,PRD-07,112-402,CC PET 350ML 1X12 - PROMO,"29,812",,
10/18/2024,3002,PRD-07,309-700,SPRITE LEMON PET 350ML 1X12,152,,
10/18/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"27,144",,
10/18/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"36,582",,
10/18/2024,3004,TPRD-1,731-831,CC ZERO SGR CAN250ML 1X12-KN,"9,269",,
10/19/2024,3004,PRD-01,101-404,CC RPET500ML 1X12 PROMO,"17,217",,
10/19/2024,3007,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"12,563",,
10/19/2024,3005,PRD-01,290-130,SPRITE RB250,"3,276",,
10/19/2024,3002,PRD-01,306-900,SPRITE LEMON-MINT RB 250 1X24,"4,368",,
10/19/2024,3002,PRD-02,131-400,DASANI WATER PET 500ML 1X12,"23,624",,
10/19/2024,3006,PRD-03,103-541,COCA-COLA  PET 1.5L /6,"6,653",,
10/19/2024,3003,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"36,629",,
10/19/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"5,226",,
10/19/2024,3003,PRD-05,100-130,COCA-COLA RB 250 ML,"8,112",,
10/19/2024,3002,PRD-05,294-300,SPRITE PET1L 1X6,"1,223",,
10/19/2024,3003,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,"39,094",,
10/19/2024,3002,PRD-07,112-402,CC PET 350ML 1X12 - PROMO,"12,871",,
10/19/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"3,900",,
10/19/2024,3004,TPRD-1,731-831,CC ZERO SGR CAN250ML 1X12-KN,"32,695",,
10/21/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"16,146",,
10/21/2024,3004,PRD-01,101-404,CC RPET500ML 1X12 PROMO,"5,005",,
10/21/2024,3007,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"10,010",,
10/21/2024,3006,PRD-01,190-175,FANTA ORANGE RB250ML UPGRADE,"6,776",,
10/21/2024,3002,PRD-01,290-130,SPRITE RB250,"3,588",,
10/21/2024,3003,PRD-01,731-404,CC ZERO SGR PET500ML 1X12-KN, -   ,,
10/21/2024,3004,PRD-02,104-300,CC PET1L 1X6,"45,864",,
10/21/2024,3011,PRD-02,112-400,CC PET 350ML 1X12,"37,703",,
10/21/2024,3002,PRD-02,131-400,DASANI WATER PET 500ML 1X12,"18,418",,
10/21/2024,3003,PRD-02,290-130,SPRITE RB250,"11,544",,
10/21/2024,3004,PRD-02,294-300,SPRITE PET1L 1X6,33,,
10/21/2024,3004,PRD-02,308-400,SPRITE LEMON MINT PET1L 1X6,52,,
10/21/2024,3005,PRD-03,104-300,CC PET1L 1X6,"11,575",,
10/21/2024,3003,PRD-03,110-557,CC PET 2L 1X6,"3,650",,
10/21/2024,3004,PRD-03,290-130,SPRITE RB250,"7,332",,
10/21/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"7,410",,
10/21/2024,3005,PRD-04,293-530,SPRITE LEMON PET 1.5L /6,"45,045",,
10/21/2024,3003,PRD-05,100-130,COCA-COLA RB 250 ML,"10,686",,
10/21/2024,3003,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,195,,
10/21/2024,3002,PRD-06,193-575,FANTA ORANGE PET1.5LT UPGRADE,"3,146",,
10/21/2024,3002,PRD-07,306-800,SPRITE LEMON-MINT PET500MLX12,"20,420",,
10/21/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"4,134",,
10/22/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"27,924",,
10/22/2024,3004,PRD-01,101-404,CC RPET500ML 1X12 PROMO,"23,824",,
10/22/2024,3003,PRD-01,104-302,COCA-COLA 1.0L 6BPET PROMO,"30,576",,
10/22/2024,3007,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"29,120",,
10/22/2024,3002,PRD-01,290-130,SPRITE RB250,"20,514",,
10/22/2024,3006,PRD-01,290-130,SPRITE RB250,"8,190",,
10/22/2024,3004,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,77,,
10/22/2024,3004,PRD-01,306-800,SPRITE LEMON-MINT PET500MLX12,"20,020",,
10/22/2024,3004,PRD-01,306-801,SPR LMN-MINT PET500MLX12 24 PRO, -   ,,
10/22/2024,3002,PRD-02,101-404,CC RPET500ML 1X12 PROMO,"47,280",,
10/22/2024,3002,PRD-02,101-430,COCA-COLA 500ML 12PET,"27,027",,
10/22/2024,3004,PRD-02,104-130,COCA-COLA PET 2.25LTR,36,,
10/22/2024,3004,PRD-02,104-300,CC PET1L 1X6,"61,807",,
10/22/2024,3002,PRD-02,131-400,DASANI WATER PET 500ML 1X12,315,,
10/22/2024,3003,PRD-02,290-130,SPRITE RB250,"15,288",,
10/22/2024,3004,PRD-02,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,78,,
10/22/2024,3005,PRD-02,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,"17,992",,
10/22/2024,3005,PRD-03,104-300,CC PET1L 1X6,"56,566",,
10/22/2024,3003,PRD-03,110-557,CC PET 2L 1X6,"77,397",,
10/22/2024,3004,PRD-03,290-130,SPRITE RB250,"6,318",,
10/22/2024,3004,PRD-03,306-900,SPRITE LEMON-MINT RB 250 1X24,13,,
10/22/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"23,010",,
10/22/2024,3005,PRD-04,293-530,SPRITE LEMON PET 1.5L /6,"102,388",,
10/22/2024,3003,PRD-05,100-130,COCA-COLA RB 250 ML,"20,640",,
10/22/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"1,248",,
10/22/2024,3002,PRD-05,194-375,FANTA ORANGE PET1LT UPGRADE,"3,276",,
10/22/2024,3002,PRD-06,193-575,FANTA ORANGE PET1.5LT UPGRADE,"25,535",,
10/22/2024,3003,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"75,361",,
10/22/2024,3002,PRD-07,301-401,SPR ZERO PET500ML 1X12 NEW,"19,721",,
10/22/2024,3002,PRD-07,306-800,SPRITE LEMON-MINT PET500MLX12,"18,132",,
10/22/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"18,174",,
10/23/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"32,136",,
10/23/2024,3003,PRD-01,104-300,CC PET1L 1X6,"53,945",,
10/23/2024,3003,PRD-01,104-302,COCA-COLA 1.0L 6BPET PROMO,"14,665",,
10/23/2024,3007,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"17,971",,
10/23/2024,3007,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"4,362",,
10/23/2024,3004,PRD-01,193-575,FANTA ORANGE PET1.5LT UPGRADE,"20,020",,
10/23/2024,3002,PRD-01,290-130,SPRITE RB250,"14,040",,
10/23/2024,3006,PRD-01,290-130,SPRITE RB250,"3,136",,
10/23/2024,3004,PRD-01,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"31,889",,
10/23/2024,3002,PRD-02,101-430,COCA-COLA 500ML 12PET,"66,466",,
10/23/2024,3004,PRD-02,104-300,CC PET1L 1X6,"92,820",,
10/23/2024,3003,PRD-02,290-130,SPRITE RB250,"22,776",,
10/23/2024,3005,PRD-02,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,"60,736",,
10/23/2024,3006,PRD-02,291-730,SPRITE BIB 20 Lt_Import,39,,
10/23/2024,3006,PRD-03,104-130,COCA-COLA PET 2.25LTR,166,,
10/23/2024,3005,PRD-03,104-300,CC PET1L 1X6,"60,715",,
10/23/2024,3004,PRD-03,290-130,SPRITE RB250,"8,190",,
10/23/2024,3006,PRD-03,290-527,SPR LEMON PET 2L 1X6,"13,807",,
10/23/2024,3003,PRD-03,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,"41,439",,
10/23/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"16,926",,
10/23/2024,3005,PRD-04,293-530,SPRITE LEMON PET 1.5L /6,"31,574",,
10/23/2024,3003,PRD-05,100-130,COCA-COLA RB 250 ML,"6,786",,
10/23/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"27,456",,
10/23/2024,3002,PRD-05,194-375,FANTA ORANGE PET1LT UPGRADE,437,,
10/23/2024,3002,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"74,217",,
10/23/2024,3003,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"62,967",,
10/23/2024,3003,PRD-06,294-300,SPRITE PET1L 1X6,"1,747",,
10/23/2024,3007,PRD-06,294-300,SPRITE PET1L 1X6,"38,438",,
10/23/2024,3002,PRD-07,159-101,CCZS KAIZEN PET 350ML 1X12,"1,784",,
10/23/2024,3002,PRD-07,731-404,CC ZERO SGR PET500ML 1X12-KN,"20,786",,
10/23/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"28,314",,
10/23/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,364,,
10/24/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"37,206",,
10/24/2024,3006,PRD-01,100-130,COCA-COLA RB 250 ML,"10,842",,
10/24/2024,3003,PRD-01,104-300,CC PET1L 1X6,"65,520",,
10/24/2024,3007,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"29,016",,
10/24/2024,3002,PRD-01,290-130,SPRITE RB250,"17,784",,
10/24/2024,3004,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"87,087",,
10/24/2024,3002,PRD-02,101-430,COCA-COLA 500ML 12PET,64,,
10/24/2024,3004,PRD-02,104-300,CC PET1L 1X6,"25,771",,
10/24/2024,3005,PRD-02,110-557,CC PET 2L 1X6,"43,056",,
10/24/2024,3003,PRD-02,290-130,SPRITE RB250,"15,824",,
10/24/2024,3005,PRD-02,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,"5,786",,
10/24/2024,3006,PRD-02,291-730,SPRITE BIB 20 Lt_Import,73,,
10/24/2024,3011,PRD-02,294-300,SPRITE PET1L 1X6,"52,670",,
10/24/2024,3005,PRD-03,104-300,CC PET1L 1X6,"134,534",,
10/24/2024,3004,PRD-03,290-130,SPRITE RB250,"7,956",,
10/24/2024,3003,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"87,945",,
10/24/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"23,244",,
10/24/2024,3005,PRD-04,101-405,CC RPET500ML 1X12,"5,806",,
10/24/2024,3003,PRD-05,100-130,COCA-COLA RB 250 ML,"30,810",,
10/24/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"22,152",,
10/24/2024,3002,PRD-05,194-375,FANTA ORANGE PET1LT UPGRADE,"1,092",,
10/24/2024,3007,PRD-06,191-475,FANTA ORANGE PET500ML UPGRADE,"3,804",,
10/24/2024,3007,PRD-06,291-430,SPRITE PET500  1X12,"13,495",,
10/24/2024,3002,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"78,221",,
10/24/2024,3003,PRD-06,294-300,SPRITE PET1L 1X6,"94,372",,
10/24/2024,3007,PRD-06,294-300,SPRITE PET1L 1X6,"3,316",,
10/24/2024,3002,PRD-07,112-402,CC PET 350ML 1X12 - PROMO,"22,932",,
10/24/2024,3002,PRD-07,159-101,CCZS KAIZEN PET 350ML 1X12,"8,182",,
10/24/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"37,674",,
10/24/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,364,,
10/25/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"31,044",,
10/25/2024,3006,PRD-01,100-130,COCA-COLA RB 250 ML,"3,168",,
10/25/2024,3004,PRD-01,103-541,COCA-COLA  PET 1.5L /6,"15,301",,
10/25/2024,3003,PRD-01,104-300,CC PET1L 1X6,255,,
10/25/2024,3011,PRD-01,104-300,CC PET1L 1X6,"72,535",,
10/25/2024,3003,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"16,286",,
10/25/2024,3007,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"21,528",,
10/25/2024,3002,PRD-01,290-130,SPRITE RB250,"15,288",,
10/25/2024,3004,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"70,642",,
10/25/2024,3007,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"3,432",,
10/25/2024,3006,PRD-02,101-730,COCA COLA BIB POSTMIX 20L,52,,
10/25/2024,3004,PRD-02,104-300,CC PET1L 1X6,437,,
10/25/2024,3005,PRD-02,110-557,CC PET 2L 1X6,27,,
10/25/2024,3005,PRD-02,290-547,SPRITE LEMON PET2L 1X6 @200 PRO,64,,
10/25/2024,3004,PRD-02,294-300,SPRITE PET1L 1X6,"65,738",,
10/25/2024,3006,PRD-03,104-130,COCA-COLA PET 2.25LTR,"10,148",,
10/25/2024,3005,PRD-03,104-300,CC PET1L 1X6,"102,866",,
10/25/2024,3006,PRD-03,104-300,CC PET1L 1X6,"5,678",,
10/25/2024,3004,PRD-03,290-130,SPRITE RB250,"6,084",,
10/25/2024,3003,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"70,595",,
10/25/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"18,954",,
10/25/2024,3005,PRD-04,101-405,CC RPET500ML 1X12,"27,676",,
10/25/2024,3003,PRD-05,100-130,COCA-COLA RB 250 ML,"36,036",,
10/25/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"25,584",,
10/25/2024,3002,PRD-05,194-375,FANTA ORANGE PET1LT UPGRADE,"23,587",,
10/25/2024,3007,PRD-06,191-475,FANTA ORANGE PET500ML UPGRADE,"9,814",,
10/25/2024,3002,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"51,194",,
10/25/2024,3002,PRD-07,112-402,CC PET 350ML 1X12 - PROMO,"38,492",,
10/25/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"37,362",,
10/25/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,364,,
10/25/2024,3004,TPRD-1,294-600,SPRITE CAN250ML 1X12,"56,017",,
10/26/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"35,958",,
10/26/2024,3004,PRD-01,103-541,COCA-COLA  PET 1.5L /6,"10,010",,
10/26/2024,3003,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"12,124",,
10/26/2024,3003,PRD-01,191-475,FANTA ORANGE PET500ML UPGRADE,"16,416",,
10/26/2024,3002,PRD-01,290-130,SPRITE RB250,"20,748",,
10/26/2024,3007,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"43,186",,
10/26/2024,3011,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"66,118",,
10/26/2024,3006,PRD-02,101-730,COCA COLA BIB POSTMIX 20L,91,,
10/26/2024,3004,PRD-02,110-557,CC PET 2L 1X6,"23,608",,
